Dimension,Sub-Dimension,Score,COUNTRYAFF
Transition Readiness,Regulation and Political Commitment,118.794,Algeria
Transition Readiness,Capital and Investment,63.0172,Algeria
Transition Readiness,Institutions and Governance,21.044,Algeria
Transition Readiness,Infrastructure and Business Environment,23.0127,Algeria
Transition Readiness,Human Capital,18.0494,Algeria
Transition Readiness,Power System Structure,12.8152,Algeria
System Performance,Economic Development and Growth,81.403,Algeria
System Performance,Environmental Sustainability,41.6663,Algeria
System Performance,Energy Access and Security,34.2945,Algeria
Technology Specific Preparedness,Solar,,Algeria
Technology Specific Preparedness,Wind Turbines,,Algeria
Technology Specific Preparedness,Natural Gas Turbine Power,,Algeria
Technology Specific Preparedness,Geothermal Power,,Algeria
Technology Specific Preparedness,Nuclear Power,,Algeria
Technology Specific Preparedness,Hydropower,,Algeria
Technology Specific Preparedness,Biomass-based Power,,Algeria
Technology Specific Preparedness,Hydrogen,3.1188,Algeria
Technology Specific Preparedness,Carbon Capture and Storage,4.1858,Algeria
Transition Readiness,Regulation and Political Commitment,90.2398,Angola
Transition Readiness,Capital and Investment,28.1549,Angola
Transition Readiness,Institutions and Governance,17.7045,Angola
Transition Readiness,Infrastructure and Business Environment,18.5111,Angola
Transition Readiness,Human Capital,21.4201,Angola
Transition Readiness,Power System Structure,14.7001,Angola
System Performance,Economic Development and Growth,34.8678,Angola
System Performance,Environmental Sustainability,70.0941,Angola
System Performance,Energy Access and Security,30.5468,Angola
Technology Specific Preparedness,Solar,,Angola
Technology Specific Preparedness,Wind Turbines,,Angola
Technology Specific Preparedness,Natural Gas Turbine Power,,Angola
Technology Specific Preparedness,Geothermal Power,,Angola
Technology Specific Preparedness,Nuclear Power,,Angola
Technology Specific Preparedness,Hydropower,,Angola
Technology Specific Preparedness,Biomass-based Power,,Angola
Technology Specific Preparedness,Hydrogen,6.6167,Angola
Technology Specific Preparedness,Carbon Capture and Storage,4.6284,Angola
Transition Readiness,Regulation and Political Commitment,54.7875,Benin
Transition Readiness,Capital and Investment,30.6955,Benin
Transition Readiness,Institutions and Governance,20.063,Benin
Transition Readiness,Infrastructure and Business Environment,43.1087,Benin
Transition Readiness,Human Capital,15.4728,Benin
Transition Readiness,Power System Structure,11.3311,Benin
System Performance,Economic Development and Growth,37.0818,Benin
System Performance,Environmental Sustainability,74.5275,Benin
System Performance,Energy Access and Security,54.2312,Benin
Technology Specific Preparedness,Solar,,Benin
Technology Specific Preparedness,Wind Turbines,,Benin
Technology Specific Preparedness,Natural Gas Turbine Power,,Benin
Technology Specific Preparedness,Geothermal Power,,Benin
Technology Specific Preparedness,Nuclear Power,,Benin
Technology Specific Preparedness,Hydropower,,Benin
Technology Specific Preparedness,Biomass-based Power,,Benin
Technology Specific Preparedness,Hydrogen,4.5421,Benin
Technology Specific Preparedness,Carbon Capture and Storage,5.7902,Benin
Transition Readiness,Regulation and Political Commitment,43.6228,Botswana
Transition Readiness,Capital and Investment,38.8224,Botswana
Transition Readiness,Institutions and Governance,12.7735,Botswana
Transition Readiness,Infrastructure and Business Environment,32.8265,Botswana
Transition Readiness,Human Capital,27.7862,Botswana
Transition Readiness,Power System Structure,11.3062,Botswana
System Performance,Economic Development and Growth,73.5834,Botswana
System Performance,Environmental Sustainability,56.5693,Botswana
System Performance,Energy Access and Security,61.2653,Botswana
Technology Specific Preparedness,Solar,,Botswana
Technology Specific Preparedness,Wind Turbines,,Botswana
Technology Specific Preparedness,Natural Gas Turbine Power,,Botswana
Technology Specific Preparedness,Geothermal Power,,Botswana
Technology Specific Preparedness,Nuclear Power,,Botswana
Technology Specific Preparedness,Hydropower,,Botswana
Technology Specific Preparedness,Biomass-based Power,,Botswana
Technology Specific Preparedness,Hydrogen,5.1723,Botswana
Technology Specific Preparedness,Carbon Capture and Storage,8.4093,Botswana
Transition Readiness,Regulation and Political Commitment,111.1197,Burkina Faso
Transition Readiness,Capital and Investment,61.8418,Burkina Faso
